物理量,公式,单位,适用条件,常见误区,来源
静电场力 (库仑定律),F = (1/4πε₀) * |q₁q₂| / r²,牛顿 (N),真空中，点电荷,误将库仑定律应用于非点电荷或介质中的电荷而未修正,[1]
电场强度 (点电荷),E = (1/4πε₀) * |q| / r²,牛顿/库仑 (N/C) 或 伏特/米 (V/m),真空中，点电荷产生的场,混淆电场强度与电场力，忽略电场强度是矢量,[1]
电势 (点电荷),V = q / (4πε₀r),伏特 (V),点电荷，选取无穷远处为电势零点,误认为电势为零处电场强度也一定为零,[1]
磁通量,ΦB = ∫ B · dA = BA cos φ,韦伯 (Wb),均匀磁场，平面面积,混淆磁通量与磁感应强度,[1]
安培力,F = I l × B = IlB sin φ,牛顿 (N),均匀磁场，直导线,错误判定力的方向，忽略电流方向与磁场方向平行时力为零,[1]
磁力 (动电荷),F = qv × B = qvB sin φ,牛顿 (N),运动的带电粒子,忽略静止电荷不受磁场力，或忘记负电荷受力方向相反,[1]
感应电动势 (法拉第定律),ε = -dΦB / dt,伏特 (V),磁通量随时间变化的回路,忽略负号（楞次定律）表示的物理意义,[1]
质能方程,E = mc²,焦耳 (J),相对论条件下,混淆静止质量与相对论质量,根据背景知识推断，文中提及相对论修正在[1]
波函数 (薛定谔方程),-(ℏ²/2m)∇²Ψ + UΨ = iℏ(∂Ψ/∂t),无 (概率密度单位为 m⁻³),非相对论性量子系统,误将波函数 Ψ 视为物质波，实际 ｜Ψ|² 代表概率密度,[1]
自旋角动量,Sz = msℏ (ms = ±1/2),焦耳·秒 (J·s),电子等自旋 1/2 粒子,将自旋视为物体真实的经典旋转,[1]
库仑力,F = (1 / (4 * π * ε0)) * (q1 * q2 / r^2),N (牛顿),真空中，点电荷,忽略点电荷模型的前提，将其应用于近距离带电体,[2]
电场强度,E = F / q0,N/C (或 V/m),静电场，试验电荷q0足够小,误认为场强E的大小与试验电荷q0成反比,[2]
电场强度通量,Φe = ∮ E · dS = Σqi / ε0,V·m,真空中，任何闭合曲面,认为闭合面上的场强仅由面内电荷产生（实际上由所有电荷决定）,[3]
长度收缩,l = l0 * sqrt(1 - (v/c)^2),m (米),惯性系间相对运动，沿运动方向,误认为垂直于运动方向的长度也会发生收缩,[4]
时间延缓,Δt = Δt' / sqrt(1 - (v/c)^2),s (秒),惯性系间相对运动,混淆固有时间（原时）与观测时间,[4]
相对论质量,m = m0 / sqrt(1 - (v/c)^2),kg (千克),高速运动物体,混淆静止质量m0与运动质量m,[5]
质能方程,E = mc^2,J (焦耳),狭义相对论范围内,认为质量转化成了能量（实质是能量与质量的等价性）,[5]
光子动量,p = h / λ,kg·m/s,光子（静止质量为零）,试图计算光子的静止质量（光子无静止质量）,[5]
