主题,公式,适用场景,易错提醒
黑体辐射,$M_B(T)=σT^4$,求黑体总辐射本领,温度必须用 K
维恩位移,$λ_mT=b$,由温度求峰值波长,温度升高峰值波长变短
普朗克能量子,$ε=hν$,能量量子化与光子能量,ν 是频率不是角频率
光子能量,$ε=hν=hc/λ$,光电效应和光子问题,波长要换算为米
光子动量,$p=h/λ=hν/c$,康普顿散射与辐射压,光子静质量为 0 但有动量
光电效应,$hν=W+1/2mv_m^2$,求最大初动能或逸出功,最大初动能由频率决定
红限频率,$ν_0=W/h$,判断是否发生光电效应,低于红限频率增大光强无效
遏止电压,$eU_a=1/2mv_m^2=hν-W$,求截止电压,与光强无关
康普顿散射,$Δλ=h/(m_0c)(1-cosφ)=2λ_Csin^2(φ/2)$,X 射线散射,波长改变量与散射角有关
氢光谱,$1/λ=R(1/k^2-1/n^2)$,求氢原子谱线波长,n>k
玻尔角动量,$L=mvr=nħ$,玻尔氢原子模型,旧量子论轨道不等于现代电子轨道
氢原子半径,$r_n=n^2r_1$,求玻尔轨道半径,$r_1=5.29×10^-11 m$
氢原子能级,$E_n=-13.6eV/n^2$,跃迁和电离能,束缚态能量为负
跃迁频率,$hν=E_i-E_f$,发射或吸收光子,发光是高能级到低能级
德布罗意波,$λ=h/p$,物质波与电子衍射,宏观物体波长极小但不等于没有
加速电子波长,$λ=h/sqrt(2meU)$,电子经电压 U 加速后的物质波,非相对论近似
测不准关系,$ΔxΔp_x≥ħ/2$,估算位置与动量限制,不是仪器误差
能量时间不确定,$ΔEΔt≥ħ/2$,寿命和能级宽度估算,常用于数量级分析
概率密度,$ρ=|Ψ|^2=Ψ*Ψ$,波函数物理意义,Ψ 本身不等于概率
归一化,$∫|Ψ|^2dV=1$,概率解释成立条件,积分区域是波函数非零的全部空间
薛定谔方程,$iħ∂Ψ/∂t=-(ħ^2/2m)∇^2Ψ+VΨ$,非相对论量子系统,不是相对论方程
定态方程,$-(ħ^2/2m)∇^2ψ+Vψ=Eψ$,势能不显含时间,求能级和定态波函数
一维定态方程,$d^2ψ/dx^2+[2m(E-V)/ħ^2]ψ=0$,一维势场问题,边界条件决定能量量子化
无限深势阱,$E_n=n^2π^2ħ^2/(2ma^2)$,宽度 a 的无限深势阱,最低能量不是 0
